Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
23601231,EK,ORD,236,00:00.0,ORD,DXB,54,8213.8,8213.8,0,E,55:34.4,10591512|125|23601231|E,14474032,0,55:34.4,agi_bideveloper2,INSERT
1021321,AA,LGA,998E,00:00.0,LGA,DFW,1,685.8,685.8,0,E,55:33.9,10660314|000|01021321|E,14474030,0,55:33.9,agi_bideveloper2,INSERT
1021321,AA,DFW,998E,00:00.0,LGA,DFW,0,0,685.8,0,I,55:33.9,10660314|000|01021321|I-Import,14474031,0,55:33.9,agi_bideveloper2,INSERT
17911434,7L,GYD,1,00:00.0,JFK,GYD,0,0,2115.4,0,I,55:33.3,10879432|501|17911434|I-Import,14474027,0,55:33.3,agi_bideveloper2,INSERT
16887183,7L,GYD,1,00:00.0,JFK,GYD,0,0,0,0,I,55:33.3,10879433|501|16887183|T-Import,14474028,0,55:33.3,agi_bideveloper2,INSERT
17911456,7L,GYD,1,00:00.0,JFK,GYD,0,0,0,0,I,55:33.3,10864001|501|17911456|I-Import,14474029,0,55:33.3,agi_bideveloper2,INSERT
87699496,TK,IST,78,00:00.0,MIA,IST,0,0,233,0,I,55:32.8,10744699|235|87699496|T-Import,14474026,0,55:32.8,agi_bideveloper2,INSERT
87672863,TK,IST,6074,00:00.0,MIA,IST,0,0,0,0,I,55:32.3,10845754|235|87672863|T-Import,14474023,0,55:32.3,agi_bideveloper2,INSERT
87683212,TK,IST,6074,00:00.0,MIA,IST,0,0,2235.9,0,I,55:32.3,10849212|235|87683212|T-Import,14474024,0,55:32.3,agi_bideveloper2,INSERT
84603525,TK,IST,6074,00:00.0,MIA,IST,0,0,0,0,I,55:32.3,10849221|235|84603525|I-Import,14474025,0,55:32.3,agi_bideveloper2,INSERT
83505833,TK,IST,6558,00:00.0,MIA,IST,0,0,1862.9,0,I,55:31.8,10874195|235|83505833|T-Import,14474022,0,55:31.8,agi_bideveloper2,INSERT
87684822,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:31.3,10793273|235|87684822|T-Import,14474014,0,55:31.3,agi_bideveloper2,INSERT
85985314,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:31.3,10770114|235|85985314|T-Import,14474015,0,55:31.3,agi_bideveloper2,INSERT
82733792,TK,IST,158,00:00.0,MIA,IST,16,316,0,0,I,55:31.3,10881597|235|82733792|T-Import,14474016,0,55:31.3,agi_bideveloper2,INSERT
82657374,TK,IST,158,00:00.0,MIA,IST,5,3523,0,0,I,55:31.3,10888151|235|82657374|T-Import,14474017,0,55:31.3,agi_bideveloper2,INSERT
82657374,TK,IST,158,00:00.0,MIA,IST,5,3510,7349,0,I,55:31.3,10888152|235|82657374|T-Import,14474018,0,55:31.3,agi_bideveloper2,INSERT
83954905,TK,IST,2,00:00.0,JFK,IST,0,0,0,0,I,55:31.3,10885721|235|83954905|T-Import,14474019,0,55:31.3,agi_bideveloper2,INSERT
50171542,TK,IST,78,00:00.0,MIA,IST,0,0,5.4,0,I,55:31.3,10885226|235|50171542|T-Import,14474020,0,55:31.3,agi_bideveloper2,INSERT
83580453,TK,IST,2,00:00.0,JFK,IST,0,0,8095.1,0,I,55:31.3,10885305|235|83580453|T-Import,14474021,0,55:31.3,agi_bideveloper2,INSERT
4752801,QR,AMS,8102,00:00.0,ORD,AMS,0,0,0,0,I,55:30.8,10885700|157|04752801|T-Import,14472862,0,55:30.8,agi_bideveloper2,INSERT
83571110,TK,IST,78,00:00.0,MIA,IST,0,0,0,0,I,55:30.8,10882781|235|83571110|T-Import,14472714,0,55:30.8,agi_bideveloper2,INSERT
15002411,7L,GYD,8116,00:00.0,JFK,GYD,0,0,0,0,I,55:30.8,10858002|501|15002411|T-Import,14470626,0,55:30.8,agi_bideveloper2,INSERT
92952576,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888600|369|92952576|I-Import,14474001,0,55:30.8,agi_bideveloper2,INSERT
2112390,QR,ORD,8102,00:00.0,ORD,DOH,2,638.9,638.9,0,E,55:30.8,10885704|157|02112390|E,14472863,0,55:30.8,agi_bideveloper2,INSERT
82556342,TK,IST,4,00:00.0,JFK,IST,0,0,0,0,I,55:30.8,10882785|235|82556342|T-Import,14472715,0,55:30.8,agi_bideveloper2,INSERT
4745296,QR,ORD,8102,00:00.0,ORD,DOH,2,199.3,199.3,0,E,55:30.8,10878673|157|04745296|E,14470627,0,55:30.8,agi_bideveloper2,INSERT
92952436,5Y,ORD,557,00:00.0,SZX,ORD,0,0,0,0,I,55:30.8,10888601|369|92952436|I-Import,14474002,0,55:30.8,agi_bideveloper2,INSERT
4745296,QR,ORD,8102,00:00.0,ORD,DOH,2,199.2,199.2,0,E,55:30.8,10885705|157|04745296|E,14472864,0,55:30.8,agi_bideveloper2,INSERT
